,proposals,votes for,votes against,total votes
0," Aave Governance V3 Activation Short Dec 19th, 2023 ",644.31K ,0 ,644.31K 23 addresses 
1," Aave Governance V3 Activation Short Dec 15th, 2023 ",625.53K ,0 ,625.53K 22 addresses 
2," Treasury Management - Polygon v2 to v3 Migration Dec 15th, 2023 ",623.33K ,0 ,623.33K 13 addresses 
3," Request for Bounty Payout - December 2023 Dec 15th, 2023 ",538.15K ,0 ,538.15K 13 addresses 
4," Transfer all CRV positions from Ethereum Mainnet Collector ... Dec 15th, 2023 ",536.55K ,0 ,536.55K 13 addresses 
5," Update GNO Risk Parameters on Aave V3 Gnosis Pool Dec 15th, 2023 ",515.34K ,0 ,515.34K 11 addresses 
6," Continuous Security Proposal Aave &lt;&gt; Certora Dec 15th, 2023 ",532.81K ,0 ,532.81K 13 addresses 
7," Onboard Native USDC to Aave V3 Markets Dec 15th, 2023 ",392.22K ,0 ,392.22K 11 addresses 
8," Polygon V2 Reserve Factor Updates Dec 15th, 2023 ",536.55K ,0 ,536.55K 12 addresses 
9," TokenLogic &amp; karpatkey Service Provider Partnership Dec 15th, 2023 ",471.68K ,0 ,471.68K 10 addresses 
