,proposals,votes for,votes against,total votes
0,"Delegate to Voter Enfranchisement Pool — Event Horizon Aug 27th, 2024 Arbitrum Treasury ",463.23K ,472.22K ,944.71K 1134 addresses 
1,"[CANCELED] Delegate to Voter Enfranchisement Pool — Event Ho... Aug 23rd, 2024 Arbitrum Treasury ",278.06K ,69.73M ,86.6M 1284 addresses 
2,"ARB Staking: Unlock ARB Utility and Align Governance Aug 20th, 2024 Arbitrum Treasury ",89.5M ,209.64K ,89.72M 3044 addresses 
3,"Funds to bootstrap the first BoLD validator Aug 20th, 2024 Arbitrum Treasury ",80.39M ,73.38K ,80.67M 2936 addresses 
4,,,,
5,,,,
6,,,,
7,,,,
8,,,,
9,,,,
